10-26-2016 23:32:10.146,-,API,"master,0013A20040F4B037,ZIGBEE TH Reg,405E,COM3 - 9600/8/N/1/N,0"
10-26-2016 23:38:05.176,1911,SENT,7E001611F10013A20040F4B037FFFE0000003200000000F118F5
10-26-2016 23:38:05.176,1912,RECV,7E00078BF1000000230060
10-26-2016 23:38:05.356,1913,RECV,7E0053910013A20040F4B037000000008032000001F10050180C00000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000062
10-26-2016 23:38:05.356,1914,SENT,7E001611F10013A20040F4B037FFFE0000003200000000F124E9
10-26-2016 23:38:05.356,1915,RECV,7E00078BF1000000230060
10-26-2016 23:38:05.526,1916,RECV,7E0053910013A20040F4B037000000008032000001F10050240C00000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000056
10-26-2016 23:38:05.526,1917,RECV,7E00078BF1000000230060
10-26-2016 23:38:05.526,1918,SENT,7E001611F10013A20040F4B037FFFE0000003200000000F130DD
10-26-2016 23:38:05.686,1919,RECV,7E0053910013A20040F4B037000000008032000001F10050300C0000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300004A
10-26-2016 23:38:05.686,1920,RECV,7E00078BF1000000230060
10-26-2016 23:38:05.686,1921,SENT,7E001611F10013A20040F4B037FFFE0000003200000000F13CD1
10-26-2016 23:38:05.826,1922,RECV,7E0053910013A20040F4B037000000008032000001F100503C0C0000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300003E
10-26-2016 23:38:05.826,1923,SENT,7E001611F10013A20040F4B037FFFE0000003200000000F148C5
10-26-2016 23:38:05.826,1924,RECV,7E00078BF1000000230060
10-26-2016 23:38:05.946,1925,RECV,7E003F910013A20040F4B037000000008032000001F1005048080000030000000003000000000300000000030000000003000000000300000000030000000003000042
10-26-2016 23:38:05.956,1926,RECV,7E00078BF1000000230060
10-26-2016 23:38:06.025,1927,SENT,7E001611F20013A20040F4B037FFFE0000003100000000F2000C
10-26-2016 23:38:06.655,1928,RECV,7E002D910013A20040F4B037000000008031000001F200010001FFFF000000000000B16230A3C94350008C5D120001FFBD
10-26-2016 23:38:06.660,1929,RECV,7E00078BF200000023005F
10-26-2016 23:38:14.042,1930,SENT,7E001611F30013A20040F4B037FFFE0000003200000000F30009
10-26-2016 23:38:14.184,1931,RECV,7E0053910013A20040F4B037000000008032000001F30050000C00000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000078
10-26-2016 23:38:14.184,1932,SENT,7E001611F30013A20040F4B037FFFE0000003200000000F30CFD
10-26-2016 23:38:14.207,1933,RECV,7E00078BF300000023005E
